kode,nama,tgl_catat,papan,sektor
NINE,Techno9 Indonesia Tbk.,5 Desember 2022,Akselerasi,Technology
NIPS,Nipress Tbk.,24 Juli 1991,Pemantauan Khusus,Consumer Cyclicals
NIRO,City Retail Developments Tbk.,13 September 2012,Pengembangan,Properties & Real Estate
NISP,Bank OCBC NISP Tbk.,20 Oktober 1994,Utama,Financials
NOBU,Bank Nationalnobu Tbk.,20 Mei 2013,Pengembangan,Financials
NPGF,Nusa Palapa Gemilang Tbk.,14 April 2021,Pemantauan Khusus,Basic Materials
NRCA,Nusa Raya Cia Tbk.,27 Juni 2013,Pengembangan,Infrastructure
NSSS,Nusantara Sawit Sejahtera Tbk.,10 Maret 2023,Pengembangan,Consumer Non-Cyclicals
NTBK,Nusatama Berkah Tbk.,9 Februari 2022,Pengembangan,Industrials
NUSA,Sinergi Megah Internusa Tbk.,12 Juli 2018,Pemantauan Khusus,Consumer Cyclicals
NZIA,Nusantara Almazia Tbk.,25 September 2019,Pengembangan,Properties & Real Estate
OASA,Maharaksa Biru Energi Tbk.,18 Juli 2016,Pengembangan,Infrastructure
OBMD,OBM Drilchem Tbk.,8 Desember 2021,Pengembangan,Basic Materials
OCAP,Onix Capital Tbk.,10 Oktober 2003,Pemantauan Khusus,Financials
OILS,Indo Oil Perkasa Tbk.,6 September 2021,Pengembangan,Consumer Non-Cyclicals
OKAS,Ancora Indonesia Resources Tbk,29 Maret 2006,Pengembangan,Basic Materials
OLIV,Oscar Mitra Sukses Sejahtera T,17 Mei 2022,Akselerasi,Consumer Cyclicals
OMED,Jayamas Medica Industri Tbk.,8 November 2022,Utama,Healthcare
OMRE,Indonesia Prima Property Tbk,22 Agustus 1994,Pemantauan Khusus,Properties & Real Estate
OPMS,Oima Prima Metal Sinergi Tbk,23 September 2019,Pengembangan,Basic Materials
PACK,Abadi Nusantara Hijau Investama Tbk,8 Februari 2023,Pemantauan Khusus,Basic Materials
PADA,Personel Alih Daya Tbk.,8 Desember 2022,Pemantauan Khusus,Industrials
PADI,Minna Padi Investama Sekuritas,9 Januari 2012,Pemantauan Khusus,Financials
PALM,Provident Investasi Bersama Tb,8 Oktober 2012,Pengembangan,Financials
PAMG,Bima Sakti Pertiwi Tbk.,5 Juli 2019,Pengembangan,Properties & Real Estate
PANI,Pantai Indah Kapuk Dua Tbk.,18 September 2018,Pengembangan,Properties & Real Estate
PANR,Panorama Sentrawisata Tbk.,18 September 2001,Utama,Consumer Cyclicals
PANS,Panin Sekuritas Tbk.,31 Mei 2000,Utama,Financials
PART,Cipta Perdana Lancar Tbk.,5 Juli 2024,Pengembangan,Consumer Cyclicals
PBID,Panca Budi Idaman Tbk.,13 Desember 2017,Utama,Basic Materials
PBRX,Pan Brothers Tbk.,16 Agustus 1990,Pemantauan Khusus,Consumer Cyclicals
PBSA,Paramita Bangun Sarana Tbk.,28 September 2016,Pengembangan,Infrastructure
PCAR,Prima Cakrawala Abadi Tbk.,29 Desember 2017,Pengembangan,Consumer Non-Cyclicals
PDES,Destinasi Tirta Nusantara Tbk,8 Juli 2008,Pengembangan,Consumer Cyclicals
PDPP,Primadaya Plastisindo Tbk.,9 November 2022,Pengembangan,Basic Materials
PEGE,Panca Global Kapital Tbk.,24 Juni 2005,Pengembangan,Financials
PEHA,Phapros Tbk.,26 Desember 2018,Pengembangan,Healthcare
PEVE,Penta Valent Tbk.,24 Januari 2023,Pengembangan,Healthcare
PGAS,Perusahaan Gas Negara Tbk.,15 Desember 2003,Utama,Energy
PGEO,Pertamina Geothermal Energy Tb,24 Februari 2023,Utama,Infrastructure
PGJO,Bahtera Bumi Raya Tbk,8 Januari 2020,Akselerasi,Technology
PGLI,Pembangunan Graha Lestari Inda,5 April 2000,Pengembangan,Consumer Cyclicals
PGUN,Pradiksi Gunatama Tbk.,7 Juli 2020,Pemantauan Khusus,Consumer Non-Cyclicals
PICO,Pelangi Indah Canindo Tbk,23 September 1996,Pengembangan,Basic Materials
PIPA,Multi Makmur Lemindo Tbk.,10 April 2023,Pemantauan Khusus,Industrials
PJAA,Pembangunan Jaya Ancol Tbk.,2 Juli 2004,Pengembangan,Consumer Cyclicals
PKPK,Perdana Karya Perkasa Tbk,11 Juli 2007,Pengembangan,Energy
PLAN,Planet Properindo Jaya Tbk.,15 September 2020,Akselerasi,Consumer Cyclicals
PLAS,Polaris Investama Tbk,16 Maret 2001,Pemantauan Khusus,Financials
PLIN,Plaza Indonesia Realty Tbk.,15 Juni 1992,Pemantauan Khusus,Properties & Real Estate
PMJS,Putra Mandiri Jembar Tbk.,18 Desember 2019,Pengembangan,Consumer Cyclicals
PMMP,Panca Mitra Multiperdana Tbk.,18 Desember 2020,Pengembangan,Consumer Non-Cyclicals
PNBN,Bank Pan Indonesia Tbk,29 Desember 1982,Utama,Financials
PNBS,Bank Panin Dubai Syariah Tbk.,15 Januari 2014,Pengembangan,Financials
PNGO,Pinago Utama Tbk.,31 Agustus 2020,Pengembangan,Consumer Non-Cyclicals
PNIN,Paninvest Tbk.,20 September 1983,Utama,Financials
PNLF,Panin Financial Tbk.,14 Juni 1983,Utama,Financials
PNSE,Pudjiadi & Sons Tbk.,1 Mei 1990,Pengembangan,Consumer Cyclicals
POLA,Pool Advista Finance Tbk.,16 November 2018,Pemantauan Khusus,Financials
POLI,Pollux Hotels Group Tbk.,10 Januari 2019,Pemantauan Khusus,Properties & Real Estate
POLL,Pollux Properties Indonesia Tb,11 Juli 2018,Pengembangan,Properties & Real Estate
POLU,Golden Flower Tbk.,26 Juni 2019,Pengembangan,Consumer Cyclicals
POLY,Asia Pacific Fibers Tbk,12 Maret 1991,Pemantauan Khusus,Consumer Cyclicals
POOL,Pool Advista Indonesia Tbk.,20 Mei 1991,Pemantauan Khusus,Financials
