kode,nama,tgl_catat,papan,sektor
TNCA,Trimuda Nuansa Citra Tbk.,28 Juni 2018,Pengembangan,Transportation & Logistics
TOBA,TBS Energi Utama Tbk.,6 Juli 2012,Utama,Energy
TOOL,Rohartindo Nusantara Luas Tbk.,9 Agustus 2022,Pengembangan,Consumer Cyclicals
TOPS,Totalindo Eka Persada Tbk.,16 Juni 2017,Pemantauan Khusus,Infrastructure
TOSK,Topindo Solusi Komunika Tbk.,7 Februari 2024,Pengembangan,Technology
TOTL,Total Bangun Persada Tbk.,25 Juli 2006,Utama,Infrastructure
TOTO,Surya Toto Indonesia Tbk.,30 Oktober 1990,Pengembangan,Industrials
TOWR,Sarana Menara Nusantara Tbk.,8 Maret 2010,Utama,Infrastructure
TOYS,Sunindo Adipersada Tbk.,6 Agustus 2020,Pemantauan Khusus,Consumer Cyclicals
TPIA,Chandra Asri Pacific Tbk.,26 Mei 2008,Pengembangan,Basic Materials
TPMA,Trans Power Marine Tbk.,20 Februari 2013,Utama,Energy
TRAM,Trada Alam Minera Tbk.,10 September 2008,Pemantauan Khusus,Energy
TRGU,Cerestar Indonesia Tbk.,8 Juli 2022,Utama,Consumer Non-Cyclicals
TRIL,Triwira Insanlestari Tbk.,28 Januari 2008,Pemantauan Khusus,Industrials
TRIM,Trimegah Sekuritas Indonesia T,31 Januari 2000,Utama,Financials
TRIN,Perintis Triniti Properti Tbk.,15 Januari 2020,Pengembangan,Properties & Real Estate
TRIO,Trikomsel Oke Tbk.,14 April 2009,Pemantauan Khusus,Consumer Cyclicals
TRIS,Trisula International Tbk.,28 Juni 2012,Pengembangan,Consumer Cyclicals
TRJA,Transkon Jaya Tbk.,27 Agustus 2020,Pengembangan,Transportation & Logistics
TRON,Teknologi Karya Digital Nusa T,8 Maret 2023,Pengembangan,Technology
TRST,Trias Sentosa Tbk.,2 Juli 1990,Pengembangan,Basic Materials
TRUE,Triniti Dinamik Tbk.,10 Juni 2021,Pemantauan Khusus,Properties & Real Estate
TRUK,Guna Timur Raya Tbk.,23 Mei 2018,Pengembangan,Transportation & Logistics
TRUS,Trust Finance Indonesia Tbk,28 November 2002,Pengembangan,Financials
TSPC,Tempo Scan Pacific Tbk.,17 Juni 1994,Utama,Healthcare
TUGU,Asuransi Tugu Pratama Indonesi,28 Mei 2018,Utama,Financials
TYRE,King Tire Indonesia Tbk.,8 Mei 2023,Pengembangan,Consumer Cyclicals
UANG,Pakuan Tbk.,6 Juli 2020,Pengembangan,Properties & Real Estate
UCID,Uni-Charm Indonesia Tbk.,20 Desember 2019,Utama,Consumer Non-Cyclicals
UDNG,Agro Bahari Nusantara Tbk.,31 Oktober 2023,Akselerasi,Consumer Non-Cyclicals
UFOE,Damai Sejahtera Abadi Tbk.,1 Februari 2021,Pengembangan,Consumer Cyclicals
ULTJ,Ultrajaya Milk Industry & Trad,2 Juli 1990,Utama,Consumer Non-Cyclicals
UNIC,Unggul Indah Cahaya Tbk.,6 November 1989,Utama,Basic Materials
UNIQ,Ulima Nitra Tbk.,8 Maret 2021,Utama,Energy
UNIT,Nusantara Inti Corpora Tbk,18 April 2002,Pemantauan Khusus,Consumer Cyclicals
UNSP,Bakrie Sumatera Plantations Tbk.,6 Maret 1990,Pemantauan Khusus,Consumer Non-Cyclicals
UNTD,Terang Dunia Internusa Tbk.,7 Februari 2024,Pengembangan,Consumer Cyclicals
UNTR,United Tractors Tbk.,19 September 1989,Utama,Industrials
UNVR,Unilever Indonesia Tbk.,11 Januari 1982,Utama,Consumer Non-Cyclicals
URBN,Urban Jakarta Propertindo Tbk.,10 Desember 2018,Pengembangan,Properties & Real Estate
UVCR,Trimegah Karya Pratama Tbk.,27 Juli 2021,Pengembangan,Technology
VAST,Vastland Indonesia Tbk.,8 Februari 2023,Pengembangan,Properties & Real Estate
VERN,Verona Indah Pictures Tbk.,8 Oktober 2024,Pengembangan,Consumer Cyclicals
VICI,Victoria Care Indonesia Tbk.,17 Desember 2020,Utama,Consumer Non-Cyclicals
VICO,Victoria Investama Tbk.,8 Juli 2013,Pengembangan,Financials
VINS,Victoria Insurance Tbk.,28 September 2015,Pengembangan,Financials
VISI,Satu Visi Putra Tbk.,27 Februari 2024,Pengembangan,Industrials
VIVA,Visi Media Asia Tbk.,21 November 2011,Pemantauan Khusus,Consumer Cyclicals
VKTR,VKTR Teknologi Mobilitas Tbk.,19 Juni 2023,Pengembangan,Consumer Cyclicals
VOKS,Voksel Electric Tbk.,20 Desember 1990,Pengembangan,Industrials
VRNA,Mizuho Leasing Indonesia Tbk.,25 Juni 2008,Pengembangan,Financials
VTNY,Venteny Fortuna International,15 Desember 2022,Utama,Financials
WAPO,Wahana Pronatural Tbk.,22 Juni 2001,Pengembangan,Consumer Non-Cyclicals
WEGE,Wijaya Karya Bangunan Gedung T,30 November 2017,Utama,Infrastructure
WEHA,WEHA Transportasi Indonesia Tbk.,31 Mei 2007,Pengembangan,Transportation & Logistics
WGSH,Wira Global Solusi Tbk.,6 Desember 2021,Akselerasi,Technology
WICO,Wicaksana Overseas International Tbk.,8 Agustus 1994,Pemantauan Khusus,Consumer Non-Cyclicals
WIDI,Widiant Jaya Krenindo Tbk.,10 Juli 2023,Akselerasi,Industrials
WIFI,Solusi Sinergi Digital Tbk.,30 Desember 2020,Pengembangan,Technology
WIIM,Wismilak Inti Makmur Tbk.,18 Desember 2012,Utama,Consumer Non-Cyclicals
WIKA,Wijaya Karya (Persero) Tbk.,29 Oktober 2007,Pengembangan,Infrastructure
WINE,Hatten Bali Tbk.,10 Januari 2023,Pengembangan,Consumer Non-Cyclicals
WINR,Winner Nusantara Jaya Tbk.,25 April 2022,Pemantauan Khusus,Properties & Real Estate
WINS,Wintermar Offshore Marine Tbk.,29 November 2010,Utama,Energy
WIRG,WIR ASIA Tbk.,4 April 2022,Pengembangan,Technology
WMPP,Widodo Makmur Perkasa Tbk.,6 Desember 2021,Pemantauan Khusus,Consumer Non-Cyclicals
WMUU,Widodo Makmur Unggas Tbk.,2 Februari 2021,Pemantauan Khusus,Consumer Non-Cyclicals
WOMF,Wahana Ottomitra Multiartha Tb,13 Desember 2004,Pengembangan,Financials
WOOD,Integra Indocabinet Tbk.,21 Juni 2017,Utama,Consumer Cyclicals
WOWS,Ginting Jaya Energi Tbk.,8 November 2019,Pemantauan Khusus,Energy
WSBP,Waskita Beton Precast Tbk.,20 September 2016,Pemantauan Khusus,Basic Materials
WSKT,Waskita Karya (Persero) Tbk.,19 Desember 2012,Pemantauan Khusus,Infrastructure
WTON,Wijaya Karya Beton Tbk.,8 April 2014,Utama,Basic Materials
YELO,Yelooo Integra Datanet Tbk.,29 Oktober 2018,Pemantauan Khusus,Consumer Cyclicals
YPAS,Yanaprima Hastapersada Tbk,5 Maret 2008,Pemantauan Khusus,Basic Materials
YULE,Yulie Sekuritas Indonesia Tbk.,10 Desember 2004,Pengembangan,Financials
ZATA,Bersama Zatta Jaya Tbk.,10 November 2022,Pemantauan Khusus,Consumer Cyclicals
ZBRA,Dosni Roha Indonesia Tbk.,1 Agustus 1991,Pengembangan,Industrials
ZINC,Kapuas Prima Coal Tbk.,16 Oktober 2017,Pemantauan Khusus,Basic Materials
ZONE,Mega Perintis Tbk.,12 Desember 2018,Pengembangan,Consumer Cyclicals
ZYRX,Zyrexindo Mandiri Buana Tbk.,30 Maret 2021,Pengembangan,Technology
