tugas,tugas_label,a,b,akurasi_a,akurasi_b,delta,ci_lo,ci_hi,n_a_saja,n_b_saja,p_mcnemar,delta_format,p_format,p_holm,p_bh
gsm8k,GSM8K,gumbel/kv,soft/kv,0.91,0.88,0.030000000000000027,-0.04,0.1,7,4,0.548828125,0.0,1.0,1.0,1.0
gsm8k,GSM8K,raw/kv,sample/kv,0.83,0.86,-0.030000000000000027,-0.12,0.05,8,11,0.6476058959960938,0.010000000000000009,1.0,1.0,1.0
gsm8k,GSM8K,moi/kv,raw/text,0.92,0.9,0.020000000000000018,-0.04,0.08,6,4,0.75390625,0.0,1.0,1.0,1.0
gsm8k,GSM8K,raw/baseline,raw/text,0.92,0.9,0.020000000000000018,-0.04,0.08,6,4,0.75390625,0.0,1.0,1.0,1.0
gsm8k,GSM8K,raw/text,soft/kv,0.9,0.88,0.020000000000000018,-0.04,0.08,6,4,0.75390625,0.0,1.0,1.0,1.0
gsm8k,GSM8K,sample/kv,soft/kv,0.86,0.88,-0.020000000000000018,-0.1,0.06,8,10,0.8145294189453125,-0.030000000000000027,0.25,1.0,1.0
gsm8k,GSM8K,gumbel/kv,moi/kv,0.91,0.92,-0.010000000000000009,-0.06,0.04,3,4,1.0,0.0,1.0,1.0,1.0
gsm8k,GSM8K,gumbel/kv,raw/baseline,0.91,0.92,-0.010000000000000009,-0.07,0.05,4,5,1.0,0.0,1.0,1.0,1.0
gsm8k,GSM8K,gumbel/kv,raw/text,0.91,0.9,0.010000000000000009,-0.05,0.08,6,5,1.0,0.0,1.0,1.0,1.0
gsm8k,GSM8K,moi/kv,raw/baseline,0.92,0.92,0.0,-0.05,0.05,4,4,1.0,0.0,1.0,1.0,1.0
humanevalplus,HumanEval+,raw/kv,sample/kv,0.42,0.74,-0.32,-0.42,-0.22,2,34,1.941225491464138e-08,0.0,1.0,1.222972059622407e-06,1.222972059622407e-06
humanevalplus,HumanEval+,moi/kv,raw/kv,0.72,0.42,0.3,0.2,0.4,32,2,6.938353180885315e-08,0.0,1.0,4.301778972148895e-06,2.185581251978874e-06
humanevalplus,HumanEval+,raw/baseline,raw/kv,0.72,0.42,0.3,0.2,0.4,33,3,2.2721360437572002e-07,0.0,1.0,1.3860029866918921e-05,4.7714856918901205e-06
humanevalplus,HumanEval+,raw/kv,raw/text,0.42,0.76,-0.34,-0.45,-0.22,6,40,3.1028037028590916e-07,0.0,1.0,1.861682221715455e-05,4.886915832003069e-06
humanevalplus,HumanEval+,gumbel/kv,raw/kv,0.71,0.42,0.29,0.19,0.4,33,4,1.0843941709026694e-06,-0.030000000000000027,0.25,6.39792560832575e-05,1.3663366553373635e-05
humanevalplus,HumanEval+,raw/kv,soft/kv,0.42,0.69,-0.26999999999999996,-0.37,-0.17,4,31,3.4654513001441956e-06,0.040000000000000036,0.125,0.00020099617540836334,3.638723865151405e-05
humanevalplus,HumanEval+,raw/text,soft/kv,0.76,0.69,0.07000000000000006,-0.03,0.17,16,9,0.2295229434967041,0.040000000000000036,0.125,1.0,0.8624482154846191
humanevalplus,HumanEval+,sample/kv,soft/kv,0.74,0.69,0.050000000000000044,-0.03,0.13,11,6,0.332305908203125,0.040000000000000036,0.125,1.0,0.8624482154846191
humanevalplus,HumanEval+,gumbel/kv,raw/text,0.71,0.76,-0.050000000000000044,-0.14,0.04,8,13,0.38331031799316406,-0.030000000000000027,0.25,1.0,0.8624482154846191
humanevalplus,HumanEval+,moi/kv,soft/kv,0.72,0.69,0.030000000000000027,-0.03,0.09,6,3,0.5078125,0.040000000000000036,0.125,1.0,1.0
humanevalplus,HumanEval+,moi/kv,raw/text,0.72,0.76,-0.040000000000000036,-0.13,0.05,9,13,0.5234670639038086,0.0,1.0,1.0,1.0
humanevalplus,HumanEval+,raw/baseline,raw/text,0.72,0.76,-0.040000000000000036,-0.13,0.05,9,13,0.5234670639038086,0.0,1.0,1.0,1.0
humanevalplus,HumanEval+,raw/baseline,soft/kv,0.72,0.69,0.030000000000000027,-0.03,0.09,7,4,0.548828125,0.040000000000000036,0.125,1.0,1.0
humanevalplus,HumanEval+,gumbel/kv,sample/kv,0.71,0.74,-0.030000000000000027,-0.1,0.04,5,8,0.5810546875,-0.030000000000000027,0.25,1.0,1.0
humanevalplus,HumanEval+,moi/kv,sample/kv,0.72,0.74,-0.020000000000000018,-0.09,0.05,5,7,0.7744140625,0.0,1.0,1.0,1.0
humanevalplus,HumanEval+,gumbel/kv,soft/kv,0.71,0.69,0.020000000000000018,-0.05,0.09,8,6,0.79052734375,0.010000000000000009,1.0,1.0,1.0
humanevalplus,HumanEval+,raw/baseline,sample/kv,0.72,0.74,-0.020000000000000018,-0.1,0.06,7,9,0.803619384765625,0.0,1.0,1.0,1.0
humanevalplus,HumanEval+,raw/text,sample/kv,0.76,0.74,0.020000000000000018,-0.07,0.11,12,10,0.8318119049072266,0.0,1.0,1.0,1.0
humanevalplus,HumanEval+,gumbel/kv,moi/kv,0.71,0.72,-0.010000000000000009,-0.07,0.05,4,5,1.0,-0.030000000000000027,0.25,1.0,1.0
humanevalplus,HumanEval+,gumbel/kv,raw/baseline,0.71,0.72,-0.010000000000000009,-0.08,0.05,5,6,1.0,-0.030000000000000027,0.25,1.0,1.0
humanevalplus,HumanEval+,moi/kv,raw/baseline,0.72,0.72,0.0,-0.06,0.06,5,5,1.0,0.0,1.0,1.0,1.0
